detector_jitter_ps,frequency_detuning_ghz,gate_label,channel,full_erasure_probability,zz_flip_probability,xx_flip_probability,erasure_mutual_information_bits,total_variation_from_independent,independent_synthetic_partial_erasure_probability
0.0,1.2,140_ps,idea2_j0_d1.2_140_ps,0.107900599314583,0.054498325877973194,0,0.49355087397596686,0.1925161199642736,0.1925161199642736
0.0,1.2,180_ps,idea2_j0_d1.2_180_ps,0.04349599055888727,0.0746161054632811,0,0.2580977275503734,0.08320817872837699,0.08320817872837691
0.0,1.2,220_ps,idea2_j0_d1.2_220_ps,0.01940944403246681,0.08558179606825074,0,0.13811178108553282,0.03806543502963468,0.03806543502963469
0.0,1.2,250_ps,idea2_j0_d1.2_250_ps,0.013160467036454623,0.08927314569906888,0,0.10108298563247044,0.02597453828767397,0.025974538287674032
0.0,1.2,320_ps,idea2_j0_d1.2_320_ps,0.010135682640625325,0.09146626391115306,0,0.08169128907406027,0.020065901156067753,0.0200659011560677
0.0,1.2,450_ps,idea2_j0_d1.2_450_ps,0.009975112624103126,0.09161308830107658,0,0.08062810343841398,0.019751219504479146,0.019751219504479167
0.0,1.2,no_filter,idea2_j0_d1.2_no_filter,0.009974999999999956,0.09161319691565736,0,0.08062735640317902,0.01975099875000009,0.019750998749999915
0.0,1.5,40_ps,idea2_j0_d1.5_40_ps,0.6411492123846867,0.004092374088439125,0,0.9417251199790353,0.4601537996863653,0.4601537996863652
0.0,1.5,140_ps,idea2_j0_d1.5_140_ps,0.107900599314583,0.0829486823549343,0,0.49355087397596686,0.1925161199642736,0.19251611996427362
0.0,1.5,180_ps,idea2_j0_d1.5_180_ps,0.04349599055888727,0.11227240615981497,0,0.2580977275503737,0.08320817872837696,0.08320817872837691
0.0,1.5,220_ps,idea2_j0_d1.5_220_ps,0.01940944403246681,0.12762878923047308,0,0.13811178108553282,0.0380654350296347,0.03806543502963469
0.0,1.5,250_ps,idea2_j0_d1.5_250_ps,0.013160467036454623,0.13256601517105204,0,0.10108298563247012,0.025974538287674032,0.02597453828767403
0.0,1.5,320_ps,idea2_j0_d1.5_320_ps,0.010135682640625325,0.13531958468014618,0,0.08169128907406026,0.020065901156067704,0.020065901156067704
0.0,1.5,450_ps,idea2_j0_d1.5_450_ps,0.009975112624103126,0.13547875503031656,0,0.08062810343841398,0.019751219504479185,0.01975121950447917
0.0,1.5,no_filter,idea2_j0_d1.5_no_filter,0.009974999999999956,0.1354788294440914,0,0.08062735640317902,0.019750998750000096,0.01975099874999991
15.0,0.6,40_ps,idea2_j15_d0.6_40_ps,0.6509510296994214,0.001091924627319744,0,0.9332158361926914,0.4544275732653687,0.45442757326536876
15.0,0.6,140_ps,idea2_j15_d0.6_140_ps,0.11833689361410207,0.01392631544193921,0,0.5245613475611963,0.20866654644773353,0.20866654644773355
