pair_probability,signal_efficiency,idler_efficiency,fusion_detector_efficiency,full_success_probability,partial_failure_probability,count_rejection_probability,full_success_hidden_error_probability,hidden_error_given_full_success,partial_retained_parity_error_probability,xx_flip_marginal,zz_flip_marginal,max_full_bell_coherence
0.05,0.99,0.99,0.95,0.4414913111445473,0.4415438462661824,0.1169648425892702,4.370369268285514e-05,9.899105957386837e-05,2.6267560817387116e-05,4.370369268285514e-05,2.6267560817387116e-05,8.918328325352314e-18
0.05,0.99,0.99,0.99,0.47937628612551475,0.4793953650169498,0.04122834885753546,9.491498007287934e-06,1.979968196591765e-05,9.539445717434318e-06,9.491498007287934e-06,9.539445717434318e-06,1.4880280168468167e-18
0.1,0.9,0.85,0.85,0.2833320765433153,0.287306034198467,0.4293618892582176,0.002279352149486684,0.00804480797689781,0.0019869788275757683,0.002279352149486684,0.0019869788275757683,5.997276205220486e-19
0.1,0.9,0.85,0.95,0.3501128096373683,0.3531488823073979,0.2967383080552338,0.0009436238840691855,0.0026951995416750114,0.0015180363350146937,0.0009436238840691855,0.0015180363350146937,2.518172630413087e-18
0.1,0.9,0.85,0.99,0.37857613513197935,0.38104596415082015,0.24037790071720044,0.00020448131223219478,0.0005401326001727722,0.0012349145094202668,0.00020448131223219478,0.0012349145094202668,3.6266117062598226e-18
0.1,0.9,0.95,0.85,0.28951346477909873,0.2908717835581552,0.4196147516627461,0.0007799057386981033,0.0026938496255888415,0.000679159389528369,0.0007799057386981033,0.000679159389528369,5.0156500906973504e-18
0.1,0.9,0.95,0.95,0.36034120105708994,0.36138505521164316,0.2782737437312669,0.0003241146428795386,0.0008994659559570823,0.0005219270772766157,0.0003241146428795386,0.0005219270772766157,2.940450431481358e-18
0.1,0.9,0.95,0.99,0.39076127458397714,0.3916124382730675,0.2176262871429553,7.034275842546097e-05,0.0001800146611261599,0.00042558184454511734,7.034275842546097e-05,0.00042558184454511734,6.5891700081923894e-18
0.1,0.9,0.99,0.85,0.29199226648036286,0.2922666424895235,0.4157410910301136,0.00015760390535268743,0.0005397536970839146,0.00013718800458032676,0.00015760390535268743,0.00013718800458032676,1.7324419032665937e-18
0.1,0.9,0.99,0.95,0.3644752030360847,0.3646865526841863,0.270838244279729,6.559774685488237e-05,0.00017997862764998005,0.0001056748240508206,6.559774685488237e-05,0.0001056748240508206,3.387211713292299e-18
0.1,0.9,0.99,0.99,0.39570002747712263,0.39587252448532967,0.20842744803754765,1.4245432588079087e-05,3.600058528907402e-05,8.624850410342627e-05,1.4245432588079087e-05,8.624850410342627e-05,3.3327775027696682e-18
0.1,0.95,0.85,0.85,0.3140794059074021,0.3176913712029694,0.36822922288962845,0.002664959587340251,0.008484986717422482,0.0018059826477834497,0.002664959587340251,0.0018059826477834497,2.4161226276395984e-19
0.1,0.95,0.85,0.95,0.38787559462139204,0.3901396987616776,0.22198470661693037,0.0011029102682868527,0.0028434639445758655,0.001132052070142716,0.0011029102682868527,0.001132052070142716,3.460487330019565e-18
0.1,0.95,0.85,0.99,0.41930890079868743,0.42080383193791004,0.15988726726340252,0.0002389680832603744,0.0005699093980719105,0.000747465569611143,0.0002389680832603744,0.000747465569611143,3.621942231466099e-18
0.1,0.95,0.95,0.85,0.3220269824777729,0.3232649986878203,0.3547080188344067,0.0009154431923764144,0.0028427530678725053,0.0006190081050238013,0.0009154431923764144,0.0006190081050238013,2.691773842101774e-18
0.1,0.95,0.95,0.95,0.4007289362157313,0.4015097865981277,0.197761277186141,0.0003804011708755967,0.0009492730284663267,0.00039042519119818117,0.0003804011708755967,0.00039042519119818117,3.265590158613915e-18
0.1,0.95,0.95,0.99,0.4345238560184521,0.4350407087501484,0.13043543523139944,8.255515056239835e-05,0.00018998991521168088,0.00025842636584798317,8.255515056239835e-05,0.00025842636584798317,1.2018748581944519e-18
0.1,0.95,0.99,0.85,0.3252264547220293,0.3254768068006837,0.3492967384772869,0.00018528468209544225,0.0005697097496383093,0.0001251760393270987,0.00018528468209544225,0.0001251760393270987,2.0710891089104764e-18
0.1,0.95,0.99,0.95,0.40594307424525056,0.40610136889323817,0.18795555686151122,7.711737490955926e-05,0.00018997090922893487,7.91473239936006e-05,7.711737490955926e-05,7.91473239936006e-05,2.9204616771364363e-18
0.1,0.95,0.99,0.99,0.44071342914399586,0.4408183095794608,0.11846826127654331,1.674693240104703e-05,3.79995963217523e-05,5.2440217732291506e-05,1.674693240104703e-05,5.2440217732291506e-05,3.1596615496444063e-18
0.1,0.99,0.85,0.85,0.33969438894776866,0.342913398251267,0.3173922128009643,0.0030017534658614508,0.008836629522081979,0.0016095046517490862,0.0030017534658614508,0.0016095046517490862,1.8322474823127363e-18
0.1,0.99,0.85,0.95,0.41930890079868727,0.4208038319379095,0.1598872672634033,0.0012419791055849644,0.0029619669489945937,0.0007474655696111427,0.0012419791055849644,0.0007474655696111427,3.775454423435867e-18
0.1,0.99,0.85,0.99,0.45320310574019695,0.4537439880563472,0.09305290620345585,0.0002690729642670079,0.000593713857780261,0.0002704411580750398,0.0002690729642670079,0.0002704411580750398,3.999316343203108e-18
0.1,0.99,0.95,0.85,0.3492404515407351,0.3503462291054855,0.30041331935377946,0.0010343870225063272,0.0029618190502931395,0.0005528887823750888,0.0010343870225063272,0.0005528887823750888,2.800395051427399e-18
0.1,0.99,0.95,0.95,0.43452385601845234,0.4350407087501485,0.13043543523139922,0.00042979033456216155,0.0009891064175401919,0.0002584263658479832,0.00042979033456216155,0.0002584263658479832,7.405409606047764e-19
0.1,0.99,0.95,0.99,0.4711387362876902,0.47132622152209785,0.05753504219021188,9.327048740387871e-05,0.00019796819964072154,9.374261720362561e-05,9.327048740387871e-05,9.374261720362561e-05,3.269332810400581e-18
