pair_probability,signal_efficiency,idler_efficiency,one_count_herald_probability,conditional_vacuum_probability,conditional_single_photon_probability,conditional_multiphoton_probability,conditional_hidden_fault_probability,two_pair_masked_fraction_of_valid_heralds,two_pair_hidden_fault_probability,decoder_visible_record_count,cutoff_tail_probability
0.03,0.9,0.95,0.02772812197765853,0.09973014179861134,0.8978405879671257,0.0024292702342628776,0.10215941203287422,0.0029910067500000023,0.002452625535000002,1.0,0.0
0.03,0.9,0.99,0.028826293181542534,0.0999460056703888,0.8995680234957352,0.0004859708338760521,0.10043197650426486,0.0005996400540000007,0.0004917048442800005,1.0,0.0
0.03,0.95,0.85,0.02495912671814728,0.04957331798344338,0.9423169889423144,0.00810969307424223,0.05768301105768561,0.008919182250000003,0.008071859936250002,1.0,0.0
0.03,0.95,0.9,0.026347849969165265,0.049715363490451504,0.9448753264034859,0.00540931010606255,0.05512467359651405,0.005964054000000001,0.00539746887,1.0,0.0
0.03,0.95,0.95,0.02772812197765853,0.04985759085817981,0.947436331097221,0.0027060780445992355,0.05256366890277905,0.0029910067500000027,0.002706861108750002,1.0,0.0
0.03,0.95,0.99,0.028826293181542534,0.049971503633865474,0.9494870532277772,0.0005414431383573791,0.05051294677222285,0.0005996400540000008,0.0005426742488700006,1.0,0.0
0.03,0.99,0.85,0.02495912671814728,0.009911094478433101,0.9812866651907112,0.008802240330855735,0.018713334809288835,0.008919182250000001,0.008742582441450002,1.0,0.0
0.03,0.99,0.9,0.026347849969165265,0.009940686432239325,0.9841870062405831,0.005872307327177596,0.015812993759416923,0.005964054,0.0058459657308,1.0,0.0
0.03,0.99,0.95,0.02772812197765853,0.009970321607404908,0.9870914514324434,0.0029382269601516513,0.01290854856755656,0.0029910067500000027,0.0029317848163500026,1.0,0.0
0.03,0.99,0.99,0.028826293181542534,0.009994060864275248,0.9894179620532114,0.0005879770825133518,0.0105820379467886,0.0005996400540000007,0.0005877671809308006,1.0,0.0
0.05,0.85,0.85,0.040987507058607056,0.1480914558474079,0.8410752091099204,0.010833335042671715,0.15892479089007963,0.014775843750000003,0.011008003593750003,1.0,0.0
0.05,0.85,0.9,0.04318072775940002,0.1487267564759134,0.8440500796382603,0.007223163885826324,0.15594992036173974,0.009900249999999998,0.007375686249999998,1.0,0.0
0.05,0.85,0.95,0.04535147392290249,0.1493629386998617,0.8470250165918417,0.0036120447082965794,0.15297498340815827,0.004975031250000006,0.0037063982812500043,1.0,0.0
0.05,0.85,0.99,0.0470720602922772,0.14987251753459732,0.849405000557712,0.0007224819076907786,0.1505949994422881,0.000999000250000001,0.0007442551862500008,1.0,0.0
0.05,0.9,0.85,0.040987507058607056,0.0986535498321264,0.8892147710287761,0.012131679139097476,0.11078522897122388,0.014775843750000003,0.012116191875000003,1.0,0.0
0.05,0.9,0.9,0.04318072775940002,0.09910157680140717,0.8928065515840631,0.008091871614529789,0.10719344841593696,0.00990025,0.008118205,1.0,0.0
0.05,0.9,0.95,0.04535147392290249,0.09955039397508791,0.8964016345708778,0.004047971454034242,0.10359836542912215,0.004975031250000006,0.004079525625000005,1.0,0.0
0.05,0.9,0.99,0.0470720602922772,0.09991001575180015,0.8992800652765534,0.0008099189716464567,0.1007199347234466,0.0009990002500000013,0.000819180205000001,1.0,0.0
0.05,0.95,0.85,0.040987507058607056,0.04928977289829946,0.9372083278225225,0.013501899279177961,0.06279167217747741,0.014775843750000007,0.013372138593750004,1.0,0.0
0.05,0.95,0.9,0.04318072775940002,0.04952600990957921,0.941464803029832,0.00900918706058874,0.05853519697016796,0.00990025,0.00895972625,1.0,0.0
0.05,0.95,0.95,0.04535147392290249,0.04976275241055969,0.9457286984249111,0.0045085491645291435,0.05427130157508883,0.004975031250000006,0.004502403281250005,1.0,0.0
